SlNo,ReleaseDate,MovieName,ReleaseTime,Genre,Budget,BoxOfficeCollection,YoutubeViews,YoutubeLikes,YoutubeDislikes
102,2013-07-12,Bhaag Milkha Bhaag,N, Drama ,30,164,2635390,4622,456
103,2014-04-25,Kaanchi,N, Drama ,31,4,2360968,2807,595
104,2014-04-25,Samrat and Co.,N,Thriller,18,2,371133,532,180
105,2013-07-12,B.A. Pass,N, Drama ,2,5.9,2240961,842,348
106,2013-07-19,Ramaiya Vastavaiya,N,Romance,35,30,3788488,4111,687
107,2014-03-14,Bewakoofiyan,FS,Romance,22,14,2850376,4764,1068
108,2013-07-19,D Day,N,Action,30,24,1939868,1804,224
109,2014-02-21,Darr@ The Mall,N,Thriller,15,4.5,1679872,255,51
110,2013-07-26,Issaq,N,Romance,10,5,68511,76,16
111,2014-02-07,Hasee To Phansee,N,Romance,27,35.5,2543707,6390,975
112,2013-07-26,Bajatey Raho,N,Comedy,5,10,462722,513,77
113,2014-01-03,Mr Joe B Carvalho,N,Comedy,15,4,268289,139,40
114,2013-07-26,Nasha,N,Thriller,4,8,613448,288,188
115,2014-04-11,Bhootnath Returns,LW,Thriller,29,53,3049275,10759,657
116,2013-08-09,Chennai Express,FS,Comedy,75,395,1882346,7954,1593
117,2013-08-15,Once Upon Ay Time In Mumbai Dobaara!,FS,Thriller,100,80,3077135,9200,2821
118,2013-08-23,Madras Cafe,N,Thriller,35,42.7,1709945,2974,594
119,2013-08-30,Satyagraha,N, Drama ,50,60,1422568,2736,394
120,2013-11-01,Krrish 3,FS,Action,115,300,23171067,72070,11888
121,2014-03-07,Total Siyappa,N, Drama ,10,12,1719399,3656,548
122,2013-11-08,Satya 2,FS,Thriller,15,1.1,110315,89,26
123,2013-11-15,Rajjo,FS,Romance,12,2,1718619,1606,1083
124,2013-11-22,Gori Tere Pyaar Mein,N,Romance,30,12.65,3799253,8559,1871
125,2013-11-29,Bullett Raja,N,Comedy,50,40,4015674,8084,2129
126,2013-10-11,War Chhod Na Yaar,FS,Comedy,14,7.5,40450,33,7
127,2013-10-11,Baat Ban Gayi,FS,Comedy,4,1.5,23186,9,4
128,2013-10-16,Boss,FS, Drama ,50,45,6464704,22977,3396
129,2013-10-18,Shahid,FS, Drama ,6,40,1148516,3155,396
130,2013-10-25,Mickey Virus,N,Comedy,11,6,335807,574,129
131,2013-09-06,Zanjeer,LW,Action,75,18.2,2539431,5634,922
132,2013-09-06,Shuddh Desi Romance,LW,Romance,25,55,5142,1,1
133,2013-09-13,Grand Masti,LW,Comedy,35,298,1795640,3015,721
134,2014-05-16,Children Of War,HS, Drama ,12,22,577569,1640,156
135,2013-09-20,Phata Poster Nikla Hero,N, Drama ,40,34,5176897,10672,1392
136,2013-09-20,The Lunchbox,N, Drama ,10,85,1064854,4054,285
137,2015-01-09,Tevar,N,Action,40,56,6132407,11241,1729
138,2015-01-16,Alone,N,Thriller,18,25,8788913,18907,2940
139,2015-01-23,Baby,N,Action,60,125,7968156,29246,2426
140,2015-01-30,Hawaizaada,N, Drama ,25,30.25,2368404,8619,539
141,2015-01-30,Khamoshiyan,N,Thriller,11,14.02,3094001,4599,997
142,2015-02-06,Shamitabh,N, Drama ,40,38,2105508,5599,677
143,2015-02-13,Roy,FS,Romance,40,58,7687797,18974,3229
144,2015-02-20,Badlapur,FS,Action,23,77,4550051,10602,893
145,2015-02-27,Dum Laga Ke Haisha,N,Comedy,15,30,3250917,8185,615
146,2015-03-13,NH10,N,Thriller,13,32.1,5592977,15464,1513
147,2015-03-20,Dilliwali Zaalim Girlfriend,N,Comedy,32,12,2316047,4289,807
148,2015-03-20,Hunterrr,N,Comedy,5,11.89,4674795,3706,762
149,2014-05-23,Kochadaiiyaan,HS,Action,150,120,4740727,13466,2649
